accord,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
Cmin,0.96029526,0.0016710839,0.029945357,0.4066544,0.43831995,0.065411255,0.003222507,0.93803227,0.016410625,0.017778507,0.2862262,0.0247624
Amin,0.60652727,0.19648139,0.07261246,0.0071558156,0.7760127,0.29224423,0.009337341,0.07119353,0.006091193,0.96162033,0.0036118408,0.01914911
D#maj,0.03704035,0.033209752,0.11935339,0.92049825,0.0017366632,0.16867821,0.007997019,0.7784868,0.029208254,0.026226483,0.9382557,0.002904437
Dmaj,0.03704035,0.033209752,0.11935339,0.92049825,0.0017366632,0.16867821,0.007997019,0.7784868,0.029208254,0.026226483,0.9382557,0.002904437
A#maj,0.016818961,0.003703287,0.92755157,0.01502879,0.0016509638,0.9717598,0.0016453058,0.01597927,0.023782292,0.021646786,0.974368,0.0015751586
Amaj,0.016818961,0.003703287,0.92755157,0.01502879,0.0016509638,0.9717598,0.0016453058,0.01597927,0.023782292,0.021646786,0.974368,0.0015751586
Dmin,0.1747019,0.0038962073,0.95067793,0.00258444,0.02628818,0.7646946,0.034776296,0.2102633,0.0020491087,0.80924517,0.022034552,0.060034025
Gmin,0.03618872,0.0018172903,0.9545392,0.0026102592,0.026650488,0.060669743,0.014023738,0.9781437,0.001353982,0.014351864,0.011292868,0.8863081
Dmin,0.4371009,0.001083237,0.96825093,0.00032708794,0.011179781,0.956318,0.019125003,0.010304042,0.0008381714,0.9751112,0.0042168917,0.0039294627
Cmaj,0.9450835,0.002005453,0.12327219,0.007822152,0.8045932,0.11005945,0.008256822,0.8884136,0.0024097716,0.19284476,0.019347992,0.049742278
Fmaj,0.98345405,0.0011348139,0.007642958,0.056433007,0.028800834,0.9898581,0.00018095748,0.0068336916,0.1389938,0.86482835,0.0091770245,0.002179155
A#maj,0.04341328,0.0066135414,0.86039275,0.09046887,0.009082357,0.80952835,0.002333345,0.32040378,0.034688734,0.025685174,0.96222544,0.004577707
Amaj,0.04341328,0.0066135414,0.86039275,0.09046887,0.009082357,0.80952835,0.002333345,0.32040378,0.034688734,0.025685174,0.96222544,0.004577707
Amin,0.6271959,0.18883464,0.0646888,0.0069589885,0.799288,0.26001415,0.00913048,0.073852785,0.0060537844,0.96211874,0.003436291,0.018817844
Dmin,0.43651542,0.0011556584,0.9679392,0.0003524198,0.011352828,0.9539542,0.01999756,0.010578228,0.000880125,0.974228,0.0043602074,0.0040718494
G#min,0.023217402,0.035676245,0.012086723,0.56038535,0.6089615,0.005361912,0.17329213,0.0052855373,0.9409701,0.011164293,0.005374247,0.9152204
Gmin,0.023217402,0.035676245,0.012086723,0.56038535,0.6089615,0.005361912,0.17329213,0.0052855373,0.9409701,0.011164293,0.005374247,0.9152204
Emaj,0.0033675372,0.55457187,0.023663973,0.014116733,0.96570796,0.00381109,0.026451081,0.011539368,0.9041942,0.059958838,0.0035206154,0.68288326
G#min,0.034447156,0.3289227,0.011702841,0.5000077,0.41637796,0.05667109,0.27982885,0.009674205,0.8896155,0.024256459,0.029058034,0.80755395
